spawn_id,status,fr_md5,fr_len,dur_s,created_epoch
408,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789533815
409,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789533815
410,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789533816
411,completed,b4aefd29108f232f9c0d5a4b030215c1,384,4,1789534524
412,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535184
413,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789535236
414,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
415,completed,b4aefd29108f232f9c0d5a4b030215c1,384,4,1789535263
416,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
417,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
418,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
419,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
420,completed,b4aefd29108f232f9c0d5a4b030215c1,384,6,1789535263
421,completed,b4aefd29108f232f9c0d5a4b030215c1,384,6,1789535263
422,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535372
423,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535397
424,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535474
425,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789536834
426,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789536898
427,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789536898
428,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789536898
429,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789536898
430,pending_init,,,,,1789536898
431,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789538022
432,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789538040
