spawn_id,status,fr_md5,fr_len,dur_s,created_epoch
424,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535474
423,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535397
422,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535372
421,completed,b4aefd29108f232f9c0d5a4b030215c1,384,6,1789535263
420,completed,b4aefd29108f232f9c0d5a4b030215c1,384,6,1789535263
419,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
418,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
417,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
416,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
415,completed,b4aefd29108f232f9c0d5a4b030215c1,384,4,1789535263
414,completed,b4aefd29108f232f9c0d5a4b030215c1,384,5,1789535263
413,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789535236
412,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789535184
411,completed,b4aefd29108f232f9c0d5a4b030215c1,384,4,1789534524
410,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789533816
409,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789533815
408,completed,b4aefd29108f232f9c0d5a4b030215c1,384,2,1789533815
407,completed,7832d402b624a0065e76cc87778148f5,623,3,1789533332
406,completed,6fdb087aa3fbfbcb8287a593a0919e61,4,2,1789533074
405,completed,6fdb087aa3fbfbcb8287a593a0919e61,4,2,1789532991
404,completed,6fdb087aa3fbfbcb8287a593a0919e61,4,2,1789532991
403,completed,6fdb087aa3fbfbcb8287a593a0919e61,4,2,1789532991
402,completed,6fdb087aa3fbfbcb8287a593a0919e61,4,1,1789532981
401,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789532043
400,completed,b4aefd29108f232f9c0d5a4b030215c1,384,1,1789531479
